Time Serie,,,EU/US,EU change %,EU c change %,,,UK/US,UK change %,UK c change %,,,INDIA/US,INDIAchange %,INDIA c change %,,,SRLNK/US,SRLNK change %,SRLNK c change %
1/3/00,,,0.9847,,,,,0.6146,,,,,43.55,,,,,72.3,,
1/4/00,,,0.97,-1.49%,-1.49%,,,0.6109,-0.60%,-0.60%,,,43.55,0.00%,0.00%,,,72.65,0.48%,0.48%
1/5/00,,,0.9676,-0.25%,-1.74%,,,0.6092,-0.28%,-0.88%,,,43.55,0.00%,0.00%,,,72.95,0.41%,0.90%
1/6/00,,,0.9686,0.10%,-1.64%,,,0.607,-0.36%,-1.24%,,,43.55,0.00%,0.00%,,,72.95,0.00%,0.90%
1/7/00,,,0.9714,0.29%,-1.35%,,,0.6104,0.56%,-0.68%,,,43.55,0.00%,0.00%,,,73.15,0.27%,1.17%
1/10/00,,,0.9754,0.41%,-0.94%,,,0.6107,0.05%,-0.63%,,,43.55,0.00%,0.00%,,,73.3,0.21%,1.38%
1/11/00,,,0.9688,-0.68%,-1.61%,,,0.6068,-0.64%,-1.27%,,,43.6,0.12%,0.12%,,,73.35,0.07%,1.44%
1/12/00,,,0.9727,0.40%,-1.21%,,,0.6073,0.08%,-1.19%,,,43.6,0.00%,0.12%,,,73.35,0.00%,1.44%
1/13/00,,,0.9737,0.10%,-1.11%,,,0.6067,-0.10%,-1.29%,,,43.55,-0.12%,0.00%,,,73.35,0.00%,1.44%
1/14/00,,,0.9874,1.41%,0.30%,,,0.6115,0.79%,-0.50%,,,43.55,0.00%,0.00%,,,73.35,0.00%,1.44%
1/18/00,,,0.988,0.06%,0.36%,,,0.6105,-0.16%,-0.66%,,,43.6,0.12%,0.12%,,,72.85,-0.68%,0.76%
1/19/00,,,0.9886,0.06%,0.42%,,,0.6083,-0.36%,-1.02%,,,43.6,0.00%,0.12%,,,73.2,0.48%,1.24%
1/20/00,,,0.9869,-0.17%,0.25%,,,0.6047,-0.59%,-1.61%,,,43.6,0.00%,0.12%,,,72.95,-0.34%,0.90%
1/21/00,,,0.9901,0.32%,0.57%,,,0.6059,0.20%,-1.41%,,,43.6,0.00%,0.12%,,,73.3,0.48%,1.38%
1/24/00,,,0.9981,0.81%,1.38%,,,0.6053,-0.10%,-1.51%,,,43.62,0.05%,0.16%,,,72.95,-0.48%,0.90%
1/25/00,,,0.9959,-0.22%,1.16%,,,0.6067,0.23%,-1.28%,,,43.59,-0.07%,0.09%,,,73.45,0.69%,1.59%
1/26/00,,,0.9989,0.30%,1.46%,,,0.6099,0.53%,-0.75%,,,43.65,0.14%,0.23%,,,73.4,-0.07%,1.52%
1/27/00,,,1.0111,1.22%,2.68%,,,0.6111,0.20%,-0.56%,,,43.63,-0.05%,0.18%,,,73.45,0.07%,1.59%
1/28/00,,,1.0241,1.29%,3.97%,,,0.6169,0.95%,0.39%,,,43.65,0.05%,0.23%,,,73.05,-0.54%,1.05%
1/31/00,,,1.0249,0.08%,4.05%,,,0.618,0.18%,0.57%,,,43.65,0.00%,0.23%,,,73.5,0.62%,1.66%
2/1/00,,,1.0276,0.26%,4.31%,,,0.6192,0.19%,0.77%,,,43.62,-0.07%,0.16%,,,73.55,0.07%,1.73%
2/2/00,,,1.0238,-0.37%,3.94%,,,0.6227,0.57%,1.33%,,,43.65,0.07%,0.23%,,,73.25,-0.41%,1.32%
2/3/00,,,1.0114,-1.21%,2.73%,,,0.624,0.21%,1.54%,,,43.65,0.00%,0.23%,,,73.55,0.41%,1.73%
2/4/00,,,1.0246,1.31%,4.04%,,,0.6283,0.69%,2.23%,,,43.65,0.00%,0.23%,,,73.55,0.00%,1.73%
2/7/00,,,1.0222,-0.23%,3.80%,,,0.6283,0.00%,2.23%,,,43.64,-0.02%,0.21%,,,73.5,-0.07%,1.66%
2/8/00,,,1.014,-0.80%,3.00%,,,0.6209,-1.18%,1.05%,,,43.63,-0.02%,0.18%,,,73.6,0.14%,1.80%
2/9/00,,,1.0087,-0.52%,2.48%,,,0.6205,-0.06%,0.99%,,,43.65,0.05%,0.23%,,,73.6,0.00%,1.80%
2/10/00,,,1.0137,0.50%,2.97%,,,0.6228,0.37%,1.36%,,,43.58,-0.16%,0.07%,,,72.82,-1.06%,0.74%
2/11/00,,,1.0155,0.18%,3.15%,,,0.628,0.83%,2.19%,,,43.65,0.16%,0.23%,,,73.6,1.07%,1.81%
2/14/00,,,1.0222,0.66%,3.81%,,,0.6293,0.21%,2.40%,,,43.65,0.00%,0.23%,,,73.65,0.07%,1.88%
2/15/00,,,1.0169,-0.52%,3.29%,,,0.627,-0.37%,2.03%,,,43.64,-0.02%,0.21%,,,73.75,0.14%,2.01%
2/16/00,,,1.0161,-0.08%,3.21%,,,0.6234,-0.57%,1.46%,,,43.75,0.25%,0.46%,,,73.41,-0.46%,1.55%
2/17/00,,,1.0139,-0.22%,3.00%,,,0.6231,-0.05%,1.41%,,,43.68,-0.16%,0.30%,,,73.65,0.33%,1.88%
2/18/00,,,1.0152,0.13%,3.12%,,,0.6256,0.40%,1.81%,,,43.68,0.00%,0.30%,,,73.36,-0.39%,1.49%
2/22/00,,,0.994,-2.09%,1.04%,,,0.6186,-1.12%,0.69%,,,43.65,-0.07%,0.23%,,,73.6,0.33%,1.81%
2/23/00,,,0.9983,0.43%,1.47%,,,0.6232,0.74%,1.44%,,,43.68,0.07%,0.30%,,,73.6,0.00%,1.81%
2/24/00,,,1.0069,0.86%,2.33%,,,0.6257,0.40%,1.84%,,,43.65,-0.07%,0.23%,,,73.75,0.20%,2.02%
2/25/00,,,1.0243,1.73%,4.06%,,,0.6286,0.46%,2.30%,,,43.65,0.00%,0.23%,,,73.75,0.00%,2.02%
2/28/00,,,1.0342,0.97%,5.02%,,,0.6275,-0.17%,2.13%,,,43.68,0.07%,0.30%,,,73.75,0.00%,2.02%
2/29/00,,,1.037,0.27%,5.30%,,,0.6337,0.99%,3.11%,,,43.65,-0.07%,0.23%,,,73.75,0.00%,2.02%
3/1/00,,,1.0309,-0.59%,4.71%,,,0.631,-0.43%,2.69%,,,43.63,-0.05%,0.19%,,,73.75,0.00%,2.02%
3/2/00,,,1.0396,0.84%,5.55%,,,0.6343,0.52%,3.21%,,,43.65,0.05%,0.23%,,,73.9,0.20%,2.22%
3/3/00,,,1.0397,0.01%,5.56%,,,0.6325,-0.28%,2.93%,,,43.65,0.00%,0.23%,,,73.9,0.00%,2.22%
3/6/00,,,1.0413,0.15%,5.71%,,,0.6356,0.49%,3.42%,,,43.63,-0.05%,0.19%,,,74,0.14%,2.36%
3/7/00,,,1.046,0.45%,6.17%,,,0.634,-0.25%,3.17%,,,43.63,0.00%,0.19%,,,73.9,-0.14%,2.22%
3/8/00,,,1.0443,-0.16%,6.00%,,,0.6307,-0.52%,2.65%,,,43.65,0.05%,0.23%,,,73.65,-0.34%,1.88%
3/9/00,,,1.0326,-1.12%,4.88%,,,0.6323,0.25%,2.90%,,,43.63,-0.05%,0.19%,,,73.65,0.00%,1.88%
3/10/00,,,1.0353,0.26%,5.14%,,,0.6332,0.14%,3.04%,,,43.65,0.05%,0.23%,,,73.8,0.20%,2.09%
3/13/00,,,1.0365,0.12%,5.26%,,,0.6336,0.06%,3.10%,,,43.65,0.00%,0.23%,,,74.05,0.34%,2.43%
3/14/00,,,1.0369,0.04%,5.30%,,,0.6359,0.36%,3.47%,,,43.64,-0.02%,0.21%,,,73.62,-0.58%,1.84%
3/15/00,,,1.0314,-0.53%,4.77%,,,0.6357,-0.03%,3.44%,,,43.65,0.02%,0.23%,,,73.62,0.00%,1.84%
3/16/00,,,1.0299,-0.15%,4.62%,,,0.635,-0.11%,3.33%,,,43.58,-0.16%,0.07%,,,73.64,0.03%,1.87%
3/17/00,,,1.0316,0.17%,4.79%,,,0.6367,0.27%,3.59%,,,43.65,0.16%,0.23%,,,74,0.49%,2.36%
3/20/00,,,1.0299,-0.16%,4.62%,,,0.6375,0.13%,3.72%,,,43.63,-0.05%,0.19%,,,73.9,-0.14%,2.23%
3/21/00,,,1.0306,0.07%,4.69%,,,0.6359,-0.25%,3.47%,,,43.59,-0.09%,0.09%,,,73.75,-0.20%,2.02%
3/22/00,,,1.0408,0.99%,5.68%,,,0.6367,0.13%,3.59%,,,43.65,0.14%,0.23%,,,73.7,-0.07%,1.95%
3/23/00,,,1.0319,-0.86%,4.83%,,,0.6317,-0.79%,2.81%,,,43.65,0.00%,0.23%,,,73.75,0.07%,2.02%
3/24/00,,,1.0284,-0.34%,4.49%,,,0.6285,-0.51%,2.30%,,,43.65,0.00%,0.23%,,,73.74,-0.01%,2.01%
3/27/00,,,1.0368,0.82%,5.30%,,,0.6307,0.35%,2.65%,,,43.62,-0.07%,0.16%,,,73.85,0.15%,2.16%
3/28/00,,,1.0401,0.32%,5.62%,,,0.63,-0.11%,2.54%,,,43.65,0.07%,0.23%,,,73.85,0.00%,2.16%
3/29/00,,,1.05,0.95%,6.57%,,,0.6301,0.02%,2.56%,,,43.65,0.00%,0.23%,,,73.9,0.07%,2.23%
3/30/00,,,1.0423,-0.73%,5.84%,,,0.6281,-0.32%,2.24%,,,43.65,0.00%,0.23%,,,73.85,-0.07%,2.16%
3/31/00,,,1.0445,0.21%,6.05%,,,0.6281,0.00%,2.24%,,,43.65,0.00%,0.23%,,,73.85,0.00%,2.16%
4/3/00,,,1.046,0.14%,6.19%,,,0.6258,-0.37%,1.87%,,,43.632,-0.04%,0.19%,,,73.85,0.00%,2.16%
4/4/00,,,1.043,-0.29%,5.91%,,,0.6264,0.10%,1.97%,,,43.65,0.04%,0.23%,,,74.18,0.45%,2.60%
4/5/00,,,1.0366,-0.61%,5.29%,,,0.6289,0.40%,2.37%,,,43.68,0.07%,0.30%,,,74.15,-0.04%,2.56%
4/6/00,,,1.0438,0.69%,5.99%,,,0.6329,0.64%,3.00%,,,43.65,-0.07%,0.23%,,,74.18,0.04%,2.60%
4/7/00,,,1.0428,-0.10%,5.89%,,,0.6317,-0.19%,2.82%,,,43.67,0.05%,0.28%,,,74.15,-0.04%,2.56%
4/10/00,,,1.043,0.02%,5.91%,,,0.6318,0.02%,2.83%,,,43.66,-0.02%,0.25%,,,74.05,-0.13%,2.43%
4/11/00,,,1.0426,-0.04%,5.87%,,,0.63,-0.28%,2.55%,,,43.68,0.05%,0.30%,,,74.1,0.07%,2.50%
4/12/00,,,1.047,0.42%,6.30%,,,0.6296,-0.06%,2.48%,,,43.7,0.05%,0.35%,,,74.05,-0.07%,2.43%
4/13/00,,,1.05,0.29%,6.58%,,,0.6297,0.02%,2.50%,,,43.7,0.00%,0.35%,,,74.05,0.00%,2.43%
4/14/00,,,1.0456,-0.42%,6.16%,,,0.6305,0.13%,2.63%,,,43.75,0.11%,0.46%,,,74.04,-0.01%,2.42%
4/17/00,,,1.0471,0.14%,6.31%,,,0.6308,0.05%,2.67%,,,43.68,-0.16%,0.30%,,,73.8,-0.32%,2.09%
4/18/00,,,1.0552,0.77%,7.08%,,,0.6344,0.57%,3.24%,,,43.7,0.05%,0.35%,,,74.25,0.61%,2.70%
4/19/00,,,1.0673,1.15%,8.23%,,,0.6338,-0.09%,3.15%,,,43.7,0.00%,0.35%,,,74.25,0.00%,2.70%
4/20/00,,,1.0666,-0.07%,8.16%,,,0.6329,-0.14%,3.01%,,,43.687,-0.03%,0.32%,,,73.85,-0.54%,2.16%
4/21/00,,,1.0662,-0.04%,8.12%,,,0.6335,0.09%,3.10%,,,43.7,0.03%,0.35%,,,74,0.20%,2.37%
4/24/00,,,1.0643,-0.18%,7.95%,,,0.6329,-0.09%,3.01%,,,43.655,-0.10%,0.24%,,,74.2,0.27%,2.64%
4/25/00,,,1.0793,1.41%,9.36%,,,0.6334,0.08%,3.09%,,,43.7,0.10%,0.35%,,,74.2,0.00%,2.64%
4/26/00,,,1.085,0.53%,9.88%,,,0.6331,-0.05%,3.04%,,,43.7,0.00%,0.35%,,,74.2,0.00%,2.64%
4/27/00,,,1.101,1.47%,11.36%,,,0.635,0.30%,3.34%,,,43.7,0.00%,0.35%,,,74.35,0.20%,2.84%
4/28/00,,,1.1002,-0.07%,11.29%,,,0.6427,1.21%,4.55%,,,43.7,0.00%,0.35%,,,74.55,0.27%,3.11%
5/1/00,,,1.0965,-0.34%,10.95%,,,0.6428,0.02%,4.57%,,,43.67,-0.07%,0.28%,,,74.4,-0.20%,2.91%
5/2/00,,,1.1028,0.57%,11.52%,,,0.6414,-0.22%,4.35%,,,43.75,0.18%,0.46%,,,74.55,0.20%,3.11%
5/3/00,,,1.1247,1.99%,13.51%,,,0.6408,-0.09%,4.26%,,,43.73,-0.05%,0.42%,,,74.05,-0.67%,2.44%
5/4/00,,,1.1227,-0.18%,13.33%,,,0.6479,1.11%,5.36%,,,43.67,-0.14%,0.28%,,,74.7,0.88%,3.31%
5/5/00,,,1.1169,-0.52%,12.82%,,,0.6541,0.96%,6.32%,,,43.7,0.07%,0.35%,,,74.7,0.00%,3.31%
5/8/00,,,1.1173,0.04%,12.85%,,,0.6532,-0.14%,6.18%,,,43.7,0.00%,0.35%,,,74.4,-0.40%,2.91%
5/9/00,,,1.1083,-0.81%,12.05%,,,0.653,-0.03%,6.15%,,,43.7,0.00%,0.35%,,,74.5,0.13%,3.05%
5/10/00,,,1.0993,-0.81%,11.23%,,,0.6599,1.06%,7.21%,,,44.3,1.37%,1.72%,,,74.8,0.40%,3.45%
5/11/00,,,1.1085,0.84%,12.07%,,,0.6668,1.05%,8.26%,,,44.44,0.32%,2.04%,,,74.55,-0.33%,3.12%
5/12/00,,,1.1013,-0.65%,11.42%,,,0.6591,-1.15%,7.10%,,,44.15,-0.65%,1.38%,,,74.6,0.07%,3.18%
5/15/00,,,1.0943,-0.64%,10.79%,,,0.6633,0.64%,7.74%,,,44.44,0.66%,2.04%,,,75.1,0.67%,3.85%
5/16/00,,,1.1046,0.94%,11.73%,,,0.6663,0.45%,8.19%,,,44.05,-0.88%,1.16%,,,75.15,0.07%,3.92%
5/17/00,,,1.121,1.48%,13.21%,,,0.6709,0.69%,8.88%,,,44.02,-0.07%,1.09%,,,75.1,-0.07%,3.85%
5/18/00,,,1.1171,-0.35%,12.86%,,,0.6749,0.60%,9.48%,,,44.03,0.02%,1.12%,,,75.15,0.07%,3.92%
5/19/00,,,1.1178,0.06%,12.93%,,,0.6732,-0.25%,9.22%,,,44,-0.07%,1.05%,,,75.15,0.00%,3.92%
5/22/00,,,1.1067,-0.99%,11.93%,,,0.6708,-0.36%,8.87%,,,44.02,0.05%,1.09%,,,75.05,-0.13%,3.79%
5/23/00,,,1.1072,0.05%,11.98%,,,0.679,1.22%,10.09%,,,44.15,0.30%,1.39%,,,75.1,0.07%,3.85%
5/24/00,,,1.0994,-0.70%,11.27%,,,0.6777,-0.19%,9.90%,,,44.25,0.23%,1.62%,,,75.1,0.00%,3.85%
5/25/00,,,1.1023,0.26%,11.54%,,,0.68,0.34%,10.24%,,,44.2,-0.11%,1.50%,,,75.5,0.53%,4.39%
5/26/00,,,1.0741,-2.56%,8.98%,,,0.6723,-1.13%,9.11%,,,44.4,0.45%,1.96%,,,75.25,-0.33%,4.06%
5/30/00,,,1.0737,-0.04%,8.94%,,,0.6689,-0.51%,8.60%,,,44.65,0.56%,2.52%,,,75.4,0.20%,4.25%
5/31/00,,,1.072,-0.16%,8.78%,,,0.6681,-0.12%,8.48%,,,44.65,0.00%,2.52%,,,74.77,-0.84%,3.42%
6/1/00,,,1.0745,0.23%,9.02%,,,0.6705,0.36%,8.84%,,,44.65,0.00%,2.52%,,,75.3,0.71%,4.13%
6/2/00,,,1.0602,-1.33%,7.69%,,,0.6632,-1.09%,7.75%,,,44.7,0.11%,2.63%,,,75.2,-0.13%,4.00%
6/5/00,,,1.0559,-0.41%,7.28%,,,0.6607,-0.38%,7.37%,,,44.75,0.11%,2.74%,,,75.35,0.20%,4.19%
6/6/00,,,1.0449,-1.04%,6.24%,,,0.6564,-0.65%,6.72%,,,44.75,0.00%,2.74%,,,75.25,-0.13%,4.06%
6/7/00,,,1.0417,-0.31%,5.93%,,,0.6568,0.06%,6.78%,,,44.83,0.18%,2.92%,,,75.25,0.00%,4.06%
6/8/00,,,1.0473,0.54%,6.47%,,,0.664,1.10%,7.88%,,,44.85,0.05%,2.97%,,,75.4,0.20%,4.26%
6/9/00,,,1.0498,0.24%,6.71%,,,0.6632,-0.12%,7.76%,,,44.85,0.00%,2.97%,,,75.25,-0.20%,4.06%
6/12/00,,,1.0478,-0.19%,6.52%,,,0.6614,-0.27%,7.49%,,,44.85,0.00%,2.97%,,,75.25,0.00%,4.06%
6/13/00,,,1.0396,-0.78%,5.74%,,,0.6609,-0.08%,7.41%,,,44.8,-0.11%,2.85%,,,75.25,0.00%,4.06%
6/14/00,,,1.0428,0.31%,6.04%,,,0.6656,0.71%,8.12%,,,44.72,-0.18%,2.68%,,,75.16,-0.12%,3.94%
6/15/00,,,1.0493,0.62%,6.67%,,,0.6621,-0.53%,7.60%,,,44.8,0.18%,2.85%,,,75.2,0.05%,4.00%
6/16/00,,,1.0365,-1.22%,5.45%,,,0.6594,-0.41%,7.19%,,,44.83,0.07%,2.92%,,,75.2,0.00%,4.00%
6/19/00,,,1.0393,0.27%,5.72%,,,0.6599,0.08%,7.27%,,,44.85,0.05%,2.97%,,,75.15,-0.07%,3.93%
6/20/00,,,1.0464,0.68%,6.40%,,,0.6623,0.36%,7.63%,,,44.75,-0.22%,2.74%,,,78.25,4.13%,8.05%
6/21/00,,,1.0576,1.07%,7.47%,,,0.668,0.86%,8.49%,,,44.7,-0.11%,2.63%,,,78.7,0.58%,8.63%
6/22/00,,,1.0641,0.61%,8.08%,,,0.6618,-0.93%,7.56%,,,44.7,0.00%,2.63%,,,78.83,0.17%,8.79%
6/23/00,,,1.0686,0.42%,8.51%,,,0.6662,0.66%,8.23%,,,44.75,0.11%,2.74%,,,78.9,0.09%,8.88%
6/26/00,,,1.0659,-0.25%,8.26%,,,0.6671,0.14%,8.36%,,,44.75,0.00%,2.74%,,,78.9,0.00%,8.88%
6/27/00,,,1.0589,-0.66%,7.60%,,,0.6667,-0.06%,8.30%,,,44.7,-0.11%,2.63%,,,79,0.13%,9.01%
6/28/00,,,1.0589,0.00%,7.60%,,,0.6619,-0.72%,7.58%,,,44.72,0.05%,2.68%,,,79,0.00%,9.01%
6/29/00,,,1.051,-0.75%,6.85%,,,0.6582,-0.56%,7.02%,,,44.73,0.02%,2.70%,,,79.2,0.25%,9.26%
6/30/00,,,1.0477,-0.31%,6.54%,,,0.6609,0.41%,7.43%,,,44.7,-0.07%,2.63%,,,79.2,0.00%,9.26%
7/3/00,,,1.0498,0.20%,6.74%,,,0.6607,-0.03%,7.40%,,,44.72,0.05%,2.68%,,,79.25,0.06%,9.33%
7/5/00,,,1.0473,-0.24%,6.50%,,,0.6614,0.11%,7.51%,,,44.69,-0.07%,2.61%,,,79.35,0.13%,9.45%
7/6/00,,,1.0496,0.22%,6.72%,,,0.6614,0.00%,7.51%,,,44.81,0.27%,2.88%,,,79.35,0.00%,9.45%
7/7/00,,,1.0544,0.46%,7.18%,,,0.6604,-0.15%,7.36%,,,44.78,-0.07%,2.81%,,,79.35,0.00%,9.45%
7/10/00,,,1.0503,-0.39%,6.79%,,,0.6606,0.03%,7.39%,,,44.75,-0.07%,2.74%,,,79.35,0.00%,9.45%
7/11/00,,,1.053,0.26%,7.05%,,,0.6605,-0.02%,7.37%,,,44.75,0.00%,2.74%,,,79.25,-0.13%,9.33%
7/12/00,,,1.0637,1.02%,8.06%,,,0.6637,0.48%,7.86%,,,44.75,0.00%,2.74%,,,79.3,0.06%,9.39%
7/13/00,,,1.0708,0.67%,8.73%,,,0.6671,0.51%,8.37%,,,44.78,0.07%,2.81%,,,79.3,0.00%,9.39%
7/14/00,,,1.0668,-0.37%,8.36%,,,0.6671,0.00%,8.37%,,,44.78,0.00%,2.81%,,,79.3,0.00%,9.39%
7/17/00,,,1.0694,0.24%,8.60%,,,0.6702,0.46%,8.83%,,,44.74,-0.09%,2.72%,,,78.75,-0.69%,8.70%
7/18/00,,,1.0727,0.31%,8.91%,,,0.6691,-0.16%,8.67%,,,44.83,0.20%,2.92%,,,78.58,-0.22%,8.48%
7/19/00,,,1.0826,0.92%,9.83%,,,0.6693,0.03%,8.70%,,,44.85,0.05%,2.97%,,,78.5,-0.10%,8.38%
7/20/00,,,1.0762,-0.59%,9.24%,,,0.6625,-1.02%,7.68%,,,45.02,0.38%,3.35%,,,78.52,0.03%,8.40%
7/21/00,,,1.0703,-0.55%,8.69%,,,0.6593,-0.48%,7.20%,,,44.8,-0.49%,2.86%,,,78.25,-0.34%,8.06%
7/24/00,,,1.0737,0.32%,9.01%,,,0.6605,0.18%,7.38%,,,44.77,-0.07%,2.79%,,,78.44,0.24%,8.30%
7/25/00,,,1.0648,-0.83%,8.18%,,,0.6583,-0.33%,7.05%,,,44.95,0.40%,3.19%,,,78.59,0.19%,8.49%
7/26/00,,,1.0624,-0.23%,7.96%,,,0.6599,0.24%,7.29%,,,44.98,0.07%,3.26%,,,78.4,-0.24%,8.25%
7/27/00,,,1.0717,0.88%,8.83%,,,0.6616,0.26%,7.55%,,,44.95,-0.07%,3.19%,,,78.4,0.00%,8.25%
7/28/00,,,1.0815,0.91%,9.74%,,,0.6656,0.60%,8.16%,,,44.96,0.02%,3.22%,,,78.4,0.00%,8.25%
7/31/00,,,1.0792,-0.21%,9.53%,,,0.6674,0.27%,8.43%,,,45.15,0.42%,3.64%,,,78.4,0.00%,8.25%
8/1/00,,,1.0837,0.42%,9.95%,,,0.667,-0.06%,8.37%,,,45.15,0.00%,3.64%,,,78.45,0.06%,8.32%
8/2/00,,,1.0945,1.00%,10.95%,,,0.67,0.45%,8.82%,,,45.4,0.55%,4.19%,,,78.43,-0.03%,8.29%
8/3/00,,,1.106,1.05%,12.00%,,,0.669,-0.15%,8.67%,,,45.4,0.00%,4.19%,,,78.46,0.04%,8.33%
8/4/00,,,1.1019,-0.37%,11.63%,,,0.6657,-0.49%,8.17%,,,45.4,0.00%,4.19%,,,78.46,0.00%,8.33%
8/7/00,,,1.0983,-0.33%,11.30%,,,0.6636,-0.32%,7.86%,,,45.62,0.49%,4.68%,,,78.46,0.00%,8.33%
8/8/00,,,1.1088,0.96%,12.26%,,,0.6657,0.32%,8.17%,,,45.8,0.40%,5.07%,,,78.53,0.09%,8.42%
8/9/00,,,1.1122,0.31%,12.56%,,,0.667,0.20%,8.37%,,,45.7,-0.22%,4.85%,,,78.4,-0.17%,8.25%
8/10/00,,,1.1017,-0.94%,11.62%,,,0.6676,0.09%,8.46%,,,45.9,0.44%,5.29%,,,78.4,0.00%,8.25%
8/11/00,,,1.1055,0.34%,11.96%,,,0.6649,-0.40%,8.06%,,,45.9,0.00%,5.29%,,,78.4,0.00%,8.25%
8/14/00,,,1.1066,0.10%,12.06%,,,0.664,-0.14%,7.92%,,,45.85,-0.11%,5.18%,,,78.4,0.00%,8.25%
8/15/00,,,1.0947,-1.08%,10.99%,,,0.6642,0.03%,7.95%,,,45.8,-0.11%,5.07%,,,78.45,0.06%,8.32%
8/16/00,,,1.0937,-0.09%,10.90%,,,0.6672,0.45%,8.40%,,,45.8,0.00%,5.07%,,,78.35,-0.13%,8.19%
8/17/00,,,1.0927,-0.09%,10.80%,,,0.667,-0.03%,8.37%,,,45.95,0.33%,5.40%,,,78.34,-0.01%,8.18%
8/18/00,,,1.1028,0.92%,11.73%,,,0.6714,0.66%,9.03%,,,45.9,-0.11%,5.29%,,,78.2,-0.18%,8.00%
8/21/00,,,1.1078,0.45%,12.18%,,,0.6711,-0.04%,8.99%,,,45.73,-0.37%,4.92%,,,78.3,0.13%,8.13%
8/22/00,,,1.1154,0.69%,12.87%,,,0.6758,0.70%,9.69%,,,45.75,0.04%,4.96%,,,78.28,-0.03%,8.10%
8/23/00,,,1.1152,-0.02%,12.85%,,,0.6751,-0.10%,9.58%,,,45.9,0.33%,5.29%,,,78.06,-0.28%,7.82%
8/24/00,,,1.1077,-0.67%,12.18%,,,0.6754,0.04%,9.63%,,,46.05,0.33%,5.62%,,,78.1,0.05%,7.87%
8/25/00,,,1.1082,0.05%,12.22%,,,0.6782,0.41%,10.04%,,,46.05,0.00%,5.62%,,,78.01,-0.12%,7.75%
8/28/00,,,1.1109,0.24%,12.47%,,,0.6795,0.19%,10.23%,,,45.83,-0.48%,5.14%,,,78.01,0.00%,7.75%
8/29/00,,,1.1153,0.40%,12.86%,,,0.6842,0.69%,10.93%,,,46,0.37%,5.51%,,,78.01,0.00%,7.75%
8/30/00,,,1.1206,0.48%,13.34%,,,0.6868,0.38%,11.31%,,,45.9,-0.22%,5.29%,,,77.9,-0.14%,7.61%
8/31/00,,,1.1264,0.52%,13.85%,,,0.6889,0.31%,11.61%,,,45.9,0.00%,5.29%,,,78.1,0.26%,7.87%
9/1/00,,,1.112,-1.28%,12.58%,,,0.6847,-0.61%,11.00%,,,45.8,-0.22%,5.08%,,,78.2,0.13%,8.00%
9/5/00,,,1.1266,1.31%,13.89%,,,0.6886,0.57%,11.57%,,,45.74,-0.13%,4.95%,,,78.2,0.00%,8.00%
9/6/00,,,1.1492,2.01%,15.90%,,,0.6918,0.46%,12.04%,,,45.65,-0.20%,4.75%,,,78.34,0.18%,8.18%
9/7/00,,,1.1442,-0.44%,15.46%,,,0.6954,0.52%,12.56%,,,46.05,0.88%,5.63%,,,78.32,-0.03%,8.15%
9/8/00,,,1.1542,0.87%,16.33%,,,0.7044,1.29%,13.85%,,,45.73,-0.70%,4.93%,,,78.25,-0.09%,8.06%
9/11/00,,,1.1596,0.47%,16.80%,,,0.7081,0.53%,14.38%,,,45.65,-0.18%,4.76%,,,78.38,0.17%,8.23%
9/12/00,,,1.1633,0.32%,17.12%,,,0.7133,0.73%,15.11%,,,45.7,0.11%,4.87%,,,78.38,0.00%,8.23%
9/13/00,,,1.1574,-0.51%,16.61%,,,0.708,-0.74%,14.37%,,,45.7,0.00%,4.87%,,,78.35,-0.04%,8.19%
9/14/00,,,1.1605,0.27%,16.88%,,,0.7112,0.45%,14.82%,,,45.8,0.22%,5.08%,,,78.4,0.06%,8.25%
9/15/00,,,1.1666,0.53%,17.41%,,,0.714,0.39%,15.21%,,,45.85,0.11%,5.19%,,,78.5,0.13%,8.38%
9/18/00,,,1.1733,0.57%,17.98%,,,0.7135,-0.07%,15.14%,,,46.15,0.65%,5.85%,,,78.7,0.25%,8.64%
9/19/00,,,1.1745,0.10%,18.08%,,,0.7102,-0.46%,14.68%,,,46.45,0.65%,6.50%,,,78.75,0.06%,8.70%
9/20/00,,,1.1818,0.62%,18.71%,,,0.7089,-0.18%,14.50%,,,46.3,-0.32%,6.17%,,,78.95,0.25%,8.95%
9/21/00,,,1.1685,-1.13%,17.58%,,,0.7003,-1.21%,13.28%,,,46.09,-0.45%,5.72%,,,79.4,0.57%,9.52%
9/22/00,,,1.1373,-2.67%,14.91%,,,0.6864,-1.98%,11.30%,,,46.18,0.20%,5.92%,,,79.35,-0.06%,9.46%
9/25/00,,,1.1444,0.62%,15.53%,,,0.6878,0.20%,11.50%,,,46.16,-0.04%,5.87%,,,79.25,-0.13%,9.34%
9/26/00,,,1.1344,-0.87%,14.66%,,,0.6849,-0.42%,11.08%,,,46.1,-0.13%,5.74%,,,79.3,0.06%,9.40%
9/27/00,,,1.1357,0.11%,14.78%,,,0.6846,-0.04%,11.04%,,,46.15,0.11%,5.85%,,,79.2,-0.13%,9.27%
9/28/00,,,1.133,-0.24%,14.54%,,,0.6833,-0.19%,10.85%,,,46.05,-0.22%,5.63%,,,79.2,0.00%,9.27%
9/29/00,,,1.1316,-0.12%,14.41%,,,0.6763,-1.02%,9.82%,,,46.06,0.02%,5.66%,,,79.2,0.00%,9.27%
